hero,role,wins,games,involved,round 1,round 2,round 3,bans,ban 1,ban 2,round 1 wins,round 2 wins,round 3 wins,totalGames
Anub'arak,Tank,7,18,24,10,5,3,6,3,3,5,2,0,55
Rexxar,Bruiser,4,4,8,0,3,1,4,2,2,0,3,1,55
Falstad,Ranged Assassin,9,15,28,4,6,5,13,9,4,4,2,3,55
Anduin,Healer,9,18,27,11,7,0,9,6,3,4,5,0,55
Cassia,Ranged Assassin,5,16,21,3,8,5,5,3,2,0,2,3,55
Stitches,Tank,4,9,30,5,4,0,21,18,3,2,2,0,55
Greymane,Ranged Assassin,12,19,25,2,9,7,6,5,1,0,7,4,55
Malfurion,Healer,4,8,12,1,4,3,4,1,3,1,3,0,55
Leoric,Bruiser,12,20,24,8,10,2,4,2,2,7,4,1,55
Zul'jin,Ranged Assassin,6,12,18,4,3,5,6,5,1,2,2,2,55
Johanna,Tank,6,12,43,11,1,0,31,31,0,5,1,0,55
Dehaka,Bruiser,8,18,24,10,4,4,6,6,0,6,0,2,55
Rehgar,Healer,4,18,25,4,13,1,7,4,3,0,4,0,55
Genji,Ranged Assassin,4,9,34,5,2,2,25,21,4,3,0,1,55
Muradin,Tank,10,21,26,13,5,3,5,3,2,4,3,3,55
Jaina,Ranged Assassin,8,17,22,4,7,6,5,1,4,4,4,0,55
Auriel,Healer,9,14,17,3,9,2,3,1,2,2,7,0,55
Thrall,Bruiser,4,4,5,0,0,4,1,1,0,0,0,4,55
Xul,Bruiser,5,11,12,1,6,4,1,0,1,1,2,2,55
Sonya,Bruiser,6,13,20,3,5,5,7,0,7,2,0,4,55
Imperius,Bruiser,5,12,16,2,7,3,4,1,3,1,3,1,55
Fenix,Ranged Assassin,3,5,10,0,3,2,5,4,1,0,2,1,55
Blaze,Tank,9,16,39,15,0,0,23,23,0,9,0,0,55
Uther,Healer,9,14,19,4,8,2,5,2,3,3,5,1,55
Maiev,Melee Assassin,3,10,28,2,4,4,18,16,2,0,1,2,55
Alexstrasza,Healer,2,5,7,0,3,2,2,1,1,0,2,0,55
Tychus,Ranged Assassin,12,15,19,3,6,6,4,0,4,2,6,4,55
Gul'dan,Ranged Assassin,7,18,27,1,11,5,9,6,3,0,6,1,55
E.T.C.,Tank,9,15,20,6,7,2,5,3,2,4,4,1,55
Kerrigan,Melee Assassin,1,4,12,0,2,2,8,6,2,0,0,1,55
Alarak,Melee Assassin,3,7,21,2,0,5,14,12,2,1,0,2,55
Nazeebo,Ranged Assassin,12,14,18,6,3,5,4,3,1,5,3,4,55
Deckard,Healer,16,17,20,2,13,2,3,0,3,2,12,2,55
Ana,Healer,3,13,21,6,5,1,8,4,4,1,1,0,55
Tyrael,Tank,5,13,15,3,7,2,2,0,2,1,2,1,55
Tracer,Ranged Assassin,1,5,23,0,3,2,18,12,6,0,0,1,55
Tassadar,Ranged Assassin,2,5,6,1,2,2,1,1,0,1,0,1,55
Tyrande,Healer,4,8,10,1,4,3,2,0,2,0,2,2,55
Kael'thas,Ranged Assassin,1,5,7,2,0,3,2,0,2,0,0,1,55
Mal'Ganis,Tank,2,4,5,0,1,3,1,0,1,0,0,2,55
Malthael,Bruiser,4,8,11,1,3,3,3,0,3,0,2,1,55
Deathwing,Bruiser,3,5,10,0,0,5,5,1,4,0,0,3,55
Nova,Ranged Assassin,3,4,5,0,0,4,1,1,0,0,0,3,55
Raynor,Ranged Assassin,3,7,7,1,2,4,0,0,0,0,0,3,55
Qhira,Melee Assassin,0,2,2,0,0,2,0,0,0,0,0,0,55
Lt. Morales,Healer,2,4,6,1,3,0,2,0,2,0,2,0,55
Azmodan,Ranged Assassin,1,1,1,0,0,1,0,0,0,0,0,1,55
Arthas,Tank,2,3,3,0,0,3,0,0,0,0,0,2,55
Gazlowe,Bruiser,1,5,6,0,2,3,1,0,1,0,0,1,55
Artanis,Bruiser,3,4,4,0,1,2,0,0,0,0,1,1,55
Lunara,Ranged Assassin,2,9,9,1,1,6,0,0,0,1,0,1,55
Yrel,Bruiser,0,5,7,0,1,3,2,0,2,0,0,0,55
Kharazim,Healer,0,1,1,0,0,0,0,0,0,0,0,0,55
Illidan,Melee Assassin,1,1,3,0,0,1,2,1,1,0,0,1,55
Ragnaros,Bruiser,0,2,2,0,1,1,0,0,0,0,0,0,55
Orphea,Ranged Assassin,2,4,7,0,0,4,3,0,3,0,0,2,55
Zarya,Support,2,3,4,0,1,2,1,0,1,0,0,2,55
Kel'Thuzad,Ranged Assassin,0,0,2,0,0,0,2,0,2,0,0,0,55
Li Li,Healer,1,1,1,0,1,0,0,0,0,0,1,0,55
