"Player","Games","Win %","Takedowns","Kills","Assists","Deaths","Kill Participation","KDA","Highest Kill Streak","Vengeances","Time Dead","Time Dead %","Deaths While Outnumbered","Escapes","Team Fight Escapes","Hero Damage","DPM","Physical Damage","Ability Damage","Damage per Death","Team Fight Hero Damage","Siege Damage","Structure Damage","Minion Damage","Summon Damage","Creep Damage","Healing","HPM","Healing per Death","Team Fight Healing","Self Healing","Allied Shields","Clutch Heals","Damage Taken","Damage Soaked","Damage Taken per Death","Team Fight Damage Taken","CC Time","Root Time","Silence Time","Stun Time","Time on Fire","XP Contribution","XPM","Merc Camp Captures","Watch Tower Captures","Aces","Wipes","% of Game with Level Adv.","% of Game with Hero Adv.","Passive XP/Second","Passive XP Gained","Altar Damage Done","Damage to Immortal","Dragon Knights Captured","Shrines Captured","Dubloons Held At End","Dubloons Turned In","Skulls Collected","Shrine Minion Damage","Plant Damage","Seeds Collected","Garden Seeds Collected","Gems Turned In","Nuke Damage","Curse Damage","Time On Temple","Damage Done to Zerg","Cage Unlocks Interrupted","Hero Pool","Damage Ratio","% of Team Damage","% of Team Damage Taken","% of Team Damage Healed","% of Time Slow CC","% of Time Non-Slow CC","Votes","Awards","Award %","MVP","MVP %","Bsteps","Bstep TD","Bstep Deaths","Taunts","Taunt TD","Taunt Deaths","Sprays","Spray TD","Spray Deaths","Dances","Dance TD","Dance Deaths"
"DDXHlopakA","21","57.1%","14.38","5.57","8.81","2.33","94%","8.37","9.90","0.76","1:44","8%","1.05","1.00","0.33","76238.29","3648.24","86854.29","134908.33","37571.44","44165.90","114395.67","22007.00","75398.38","3930.19","32164.76","0.00","803.98","8961.99","0.00","16944.48","0.00","0.00","51884.48","43907.76","26062.90","32220.57","2:35","00:00","00:04","00:08","00:00","15695.86","760.91","3.81","0.00","0.38","0.19","38%","17%","27.62","9740.27","0.19","4026.95","0.00","0.05","0","0","0","2250.71","0.00","0.00","0.00","4.29","0","0","00:00","0","0.00","14","1.64","35%","20%","0%","11%","1%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"ManeOK","21","57.1%","12.81","2.29","10.52","2.14","85%","7.71","8.81","0.29","1:44","8%","1.24","0.19","0.00","31868.14","1501.15","46240.67","111925.71","17401.18","19933.05","108146.05","11339.10","81584.48","4485.19","18893.14","2913.10","1175.01","14707.08","0.00","17369.62","2843.19","0.00","60557.52","51126.90","35125.88","38068.52","3:17","00:01","00:04","00:15","00:00","16239.52","770.86","2.14","0.00","0.38","0.19","38%","17%","27.62","9740.27","0.19","1434.29","0.00","0.24","0","0","0","4171.38","0.00","0.00","0.00","2.38","0","0","00:00","0","0.00","8","0.60","15%","24%","3%","16%","2%","0","0","0%","0","0%","0","0","0","0","0","0","5","0","0","0","0","0"
"DDXDarnass","21","57.1%","13.38","2.71","10.67","3.33","88%","5.72","6.76","0.86","2:12","10%","1.57","1.19","0.14","41413.52","1952.61","47858.00","80757.00","15395.32","30362.90","68803.52","14117.43","45071.33","3857.00","19890.48","2667.24","1366.16","11711.05","301.00","25960.14","513.19","0.00","79893.24","66716.71","32658.11","57494.00","3:33","00:02","00:00","00:35","00:00","11578.29","554.68","3.43","0.00","0.38","0.19","38%","17%","27.62","9740.27","0.00","293.14","0.00","0.19","0","0","0","4360.24","0.00","0.00","0.00","3.10","0","0","00:00","0","0.00","12","0.58","20%","31%","1%","16%","3%","0","0","0%","0","0%","0","0","0","6","0","0","9","0","0","76","0","0"
"BDbibziuk","21","57.1%","13.29","3.90","9.38","2.43","88%","7.64","8.52","0.43","1:49","8%","1.05","0.24","0.00","46216.19","2237.28","86266.24","107780.76","27271.13","26246.62","101882.52","24618.43","62964.48","4567.95","45488.10","4178.86","380.32","2377.81","1317.52","3903.48","0.00","0.05","39560.90","31934.10","20657.11","24279.95","2:39","00:08","00:00","00:02","00:00","12626.86","599.57","5.19","0.00","0.38","0.19","38%","17%","27.62","9740.27","1.24","6649.52","0.00","0.05","0","0","0","11159.52","0.00","0.00","0.00","5.24","0","0","00:00","0","0.05","7","1.32","23%","15%","2%","12%","1%","0","0","0%","0","0%","0","0","0","0","0","0","2","0","0","0","0","0"
"Agumi","21","57.1%","13.00","0.86","12.14","1.81","86%","9.22","9.67","0.10","1:22","6%","0.81","0.19","0.00","15702.14","738.58","28524.10","38353.95","10343.69","7383.67","30547.86","6781.76","18106.19","2205.33","20159.00","75067.52","3754.49","54712.58","12666.67","1902.62","975.52","1.62","26566.43","20623.86","15050.76","15291.24","26:59","00:11","00:01","00:21","00:00","7182.48","344.93","4.81","0.00","0.38","0.19","38%","17%","27.62","9740.27","0.00","2878.86","0.00","0.00","0","0","0","5164.38","0.00","0.00","0.00","0.95","0","0","00:00","0","0.05","8","0.70","7%","10%","30%","129%","3%","0","0","0%","0","0%","0","0","0","0","0","0","4","0","0","0","0","0"
"MrX","16","43.8%","9.94","1.63","8.25","1.94","77%","7.98","8.00","0.25","1:27","7%","1.13","0.50","0.13","23538.19","1161.78","57427.00","97246.75","16661.89","13567.25","120901.31","10012.50","97965.63","4338.31","10066.25","5.94","751.28","12529.47","4.69","15603.63","5.94","0.00","55347.13","48922.13","39824.49","31948.56","2:03","00:04","00:04","00:10","00:00","16995.38","834.14","2.06","0.00","0.06","0.00","22%","18%","24.81","6061.42","0.75","0","0.13","0.25","0","0","0","2579.44","0.00","0.00","0.00","1.69","0","0","00:00","0","0.00","7","0.45","13%","24%","0%","10%","2%","0","0","0%","0","0%","0","0","0","1","0","0","4","0","0","1","0","0"
"Endless","16","43.8%","11.19","1.31","9.88","1.06","85%","9.24","9.75","0.06","00:54","4%","0.31","0.38","0.06","15027.25","749.78","22811.38","43739.06","12104.18","6386.44","33408.00","3978.19","20549.69","3027.50","17898.81","67489.06","3671.74","61623.01","10076.38","5633.06","2402.94","1.25","23069.38","19282.38","17286.95","12583.06","9:10","00:10","00:00","00:26","00:00","6464.94","323.45","6.13","0.00","0.06","0.00","22%","18%","24.81","6061.42","0.75","0","0.00","0.06","0","0","0","1661.94","0.00","0.00","0.00","0.00","0","0","00:00","0","0.06","7","0.72","8%","10%","31%","47%","3%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Thilidric","16","43.8%","11.25","1.94","9.25","2.31","83%","6.59","8.38","0.31","1:38","8%","1.13","0.25","0.00","22808.13","1121.26","27822.63","42135.31","12014.65","15654.19","40122.00","5741.13","25383.00","3596.69","7340.19","1605.81","956.54","10611.20","833.75","18017.31","0.00","0.13","64679.88","55701.38","34727.32","45149.75","1:46","00:00","00:00","00:24","00:00","8333.19","406.30","2.75","0.00","0.06","0.00","22%","18%","24.81","6061.42","0.81","0","0.00","0.13","0","0","0","862.81","0.00","0.00","0.00","2.19","0","0","00:00","0","0.00","7","0.36","13%","29%","1%","9%","2%","0","0","0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"Sesabos","16","43.8%","11.38","3.94","7.44","1.88","86%","8.52","8.50","0.25","1:19","6%","0.63","0.50","0.06","60324.00","2888.44","52955.25","182777.44","40374.48","34042.81","144635.56","18133.19","104149.69","6912.50","31055.31","0.00","624.29","7817.74","4.69","12414.06","0.00","0.00","40271.69","34808.25","24528.69","23704.88","5:27","00:07","00:04","00:00","00:00","17774.00","859.34","4.38","0.00","0.06","0.00","22%","18%","24.81","6061.42","1.69","0","0.06","0.13","0","0","0","1604.19","0.00","0.00","0.00","1.81","0","0","00:00","0","0.06","9","1.87","32%","17%","0%","27%","1%","0","0","0%","0","0%","0","0","0","0","0","0","3","1","1","0","0","0"
"Bronek","16","43.8%","10.94","3.50","7.38","1.88","83%","7.11","8.69","0.38","1:09","5%","0.69","1.13","0.00","59617.31","2912.03","70867.94","168742.63","37047.78","31900.06","144420.19","21042.88","96418.75","9540.88","34353.00","723.06","373.55","4752.97","113.44","6852.75","518.69","0.00","43018.13","37072.31","25886.69","23850.25","1:27","00:03","00:02","00:02","00:00","15815.69","781.32","3.38","0.00","0.06","0.00","22%","18%","24.81","6061.42","1.38","0","0.00","0.13","0","0","0","5964.56","0.00","0.00","0.00","2.69","0","0","00:00","0","0.00","10","1.50","34%","19%","1%","8%","1%","0","0","0%","0","0%","0","0","0","0","0","0","1","0","0","0","0","0"
